Python File,Function Name,Lines of Code,Cyclomatic Complexity,Number of Calls,Functions Called
C:/Users/DELL/robotframework\tasks.py,set_version,127,11,3,"Version, print, str"
C:/Users/DELL/robotframework\tasks.py,print_version,127,11,2,"print, Version"
C:/Users/DELL/robotframework\tasks.py,library_docs,127,11,5,"libdoc, len, Exit, str, Path"
C:/Users/DELL/robotframework\tasks.py,release_notes,127,11,2,"Version, ReleaseNotesGenerator"
C:/Users/DELL/robotframework\tasks.py,init_labels,127,11,1,initialize_labels
C:/Users/DELL/robotframework\atest\genrunner.py,__init__,64,3,0,
C:/Users/DELL/robotframework\atest\interpreter.py,get_variables,86,33,1,Interpreter
C:/Users/DELL/robotframework\atest\interpreter.py,__init__,86,33,2,"tuple, int"
C:/Users/DELL/robotframework\atest\interpreter.py,_get_interpreter,86,33,0,
C:/Users/DELL/robotframework\atest\interpreter.py,_get_name_and_version,86,33,1,ValueError
C:/Users/DELL/robotframework\atest\interpreter.py,os,86,33,0,
C:/Users/DELL/robotframework\atest\interpreter.py,output_name,86,33,0,
C:/Users/DELL/robotframework\atest\interpreter.py,excludes,86,33,0,
C:/Users/DELL/robotframework\atest\interpreter.py,is_python,86,33,0,
C:/Users/DELL/robotframework\atest\interpreter.py,is_pypy,86,33,0,
C:/Users/DELL/robotframework\atest\interpreter.py,is_linux,86,33,0,
C:/Users/DELL/robotframework\atest\interpreter.py,is_osx,86,33,0,
C:/Users/DELL/robotframework\atest\interpreter.py,is_windows,86,33,0,
C:/Users/DELL/robotframework\atest\interpreter.py,runner,86,33,1,str
C:/Users/DELL/robotframework\atest\interpreter.py,rebot,86,33,1,str
C:/Users/DELL/robotframework\atest\interpreter.py,libdoc,86,33,1,str
C:/Users/DELL/robotframework\atest\interpreter.py,testdoc,86,33,1,str
C:/Users/DELL/robotframework\atest\interpreter.py,__str__,86,33,0,
C:/Users/DELL/robotframework\atest\run.py,atests,111,13,6,"_get_directories, _run, _rebot, Interpreter, list, _get_arguments"
C:/Users/DELL/robotframework\atest\run.py,_get_directories,111,13,1,Path
C:/Users/DELL/robotframework\atest\run.py,_get_arguments,111,13,0,
C:/Users/DELL/robotframework\atest\run.py,_run,111,13,4,"dict, print, str, len"
C:/Users/DELL/robotframework\atest\run.py,_rebot,111,13,2,"print, str"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,__init__,310,119,1,XMLSchema
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,process_output,310,119,7,"set_suite_variable, BuiltIn, Result, ProcessResults, RuntimeError, NoSlotsTestSuite, ExecutionResultBuilder"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,_validate_output,310,119,1,AssertionError
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,_get_schema_version,310,119,1,open
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,get_test_case,310,119,1,BuiltIn
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,_get_test_from_suite,310,119,2,"RuntimeError, len"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,get_tests_from_suite,310,119,0,
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,get_test_suite,310,119,3,"RuntimeError, len, BuiltIn"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,_get_suites_from_suite,310,119,0,
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,check_test_case,310,119,1,BuiltIn
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,_check_test_status,310,119,1,AssertionError
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,_get_pattern,310,119,2,"RuntimeError, len"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,should_contain_tests,310,119,3,"len, AssertionError, sorted"
C:/Users/DELL/robotframework\atest\resources\TestCheckerLibrary.py,_find_expected_status,310,119,0,
