Number,Issue ID,TBF,Reliability
4870,1897220360,0,1.0
4869,1896495200,0,1.0
4867,1896105762,0,1.0
4864,1890194767,2,0.9723205069616594
4862,1888749650,0,1.0
4861,1888438803,0,1.0
4859,1885399555,1,0.9860631353831556
4839,1848482266,11,0.8569430283424219
4838,1845371669,3,0.9587694076919532
4837,1844933817,0,1.0
4833,1826358340,0,1.0
4832,1822615049,1,0.9860631353831556
4831,1822320924,0,1.0
4829,1814039251,5,0.9322311565463698
4828,1813491754,3,0.9587694076919532
4827,1811828911,4,0.9454071682581783
4825,1808931341,2,0.9723205069616594
4820,1805708336,0,1.0
4818,1802740622,3,0.9587694076919532
4817,1801033178,11,0.8569430283424219
4816,1800901671,1,0.9860631353831556
4815,1800167841,5,0.9322311565463698
4812,1789077556,8,0.8937947137939475
4810,1782468439,3,0.9587694076919532
4809,1780965131,26,0.6942610339259512
4807,1775753789,17,0.7877352614401208
4804,1769423384,13,0.8332232797551633
4802,1767177158,32,0.638191663832309
4801,1763731335,38,0.5866505246332054
4800,1763716937,38,0.5866505246332054
4795,1752969216,0,1.0
4794,1752697024,0,1.0
4793,1751454828,0,1.0
4792,1749749552,0,1.0
4791,1749699413,0,1.0
4790,1749244670,1,0.9860631353831556
4789,1748529229,0,1.0
4787,1747307942,1,0.9860631353831556
4786,1746396749,1,0.9860631353831556
4784,1744066826,99,0.24921119596026206
4783,1743081680,3,0.9587694076919532
4782,1738587947,8,0.8937947137939475
4781,1737643682,0,1.0
4780,1737611887,0,1.0
4779,1737461942,0,1.0
4778,1733754501,0,1.0
4777,1731173138,0,1.0
4775,1725085350,4,0.9454071682581783
4773,1723437550,5,0.9322311565463698
4772,1723377566,13,0.8332232797551633
4771,1722483268,1,0.9860631353831556
4770,1719852679,1,0.9860631353831556
4768,1711629532,15,0.810160081783797
4767,1708881362,8,0.8937947137939475
4766,1708648106,0,1.0
4765,1707618980,1,0.9860631353831556
4763,1705984823,20,0.7552564700290105
4762,1705210249,20,0.7552564700290105
4761,1704940434,20,0.7552564700290105
4760,1703232203,7,0.9064274707386204
4758,1700795430,8,0.8937947137939475
4757,1700487722,4,0.9454071682581783
4756,1695574065,13,0.8332232797551633
4755,1695369523,0,1.0
4754,1695264304,29,0.6656362402807872
4753,1694194803,0,1.0
4750,1682385637,0,1.0
4749,1682001888,0,1.0
4748,1681784526,0,1.0
4746,1680590119,48,0.5098315301712449
4745,1678616243,2,0.9723205069616594
4744,1678014037,4,0.9454071682581783
4743,1677805165,17,0.7877352614401208
4742,1677049227,0,1.0
4740,1671363647,16,0.7988689904060046
4738,1669926494,7,0.9064274707386204
4737,1669012385,2,0.9723205069616594
4736,1665308172,0,1.0
4735,1664593644,40,0.5704123355206817
4734,1664502633,0,1.0
4733,1664192461,0,1.0
4732,1663770785,1,0.9860631353831556
4731,1661807881,0,1.0
4729,1659823987,3,0.9587694076919532
4728,1659603617,2,0.9723205069616594
4727,1658924819,46,0.5243451377616051
4726,1658857178,3,0.9587694076919532
4724,1657836265,31,0.647211766601868
4723,1657320094,0,1.0
4722,1655921994,8,0.8937947137939475
4721,1655600536,160,0.10586578820631777
4720,1655557017,159,0.10736207896584776
4719,1655313776,0,1.0
4718,1653723697,0,1.0
4716,1651042071,3,0.9587694076919532
4714,1650500306,34,0.6205268421161356
4713,1648841980,0,1.0
4709,1646754740,0,1.0
4708,1646633939,160,0.10586578820631777
4706,1643760773,0,1.0
4705,1643455775,0,1.0
4704,1642371622,0,1.0
4703,1640861137,66,0.3960150578227051
4702,1640553491,2,0.9723205069616594
4701,1640072314,9,0.8813380178725501
4699,1637142845,0,1.0
4698,1637088924,0,1.0
4696,1633496098,0,1.0
4695,1630819433,9,0.8813380178725501
4694,1626268686,0,1.0
4692,1625036987,0,1.0
4691,1624053305,6,0.9192387771259788
4689,1623949169,1,0.9860631353831556
4688,1623508631,69,0.3796871224257695
4687,1623494967,76,0.3441588380524152
4685,1622467797,175,0.08576823563133655
4684,1621310061,0,1.0
4683,1621271832,1,0.9860631353831556
4682,1620330369,1,0.9860631353831556
4681,1620224205,1,0.9860631353831556
4680,1620223756,1,0.9860631353831556
4679,1619077425,0,1.0
4678,1619003177,25,0.7040736125442733
4677,1614601663,28,0.6750442404706066
4676,1613777283,3,0.9587694076919532
4675,1613694771,0,1.0
4673,1611100393,7,0.9064274707386204
4672,1611078337,0,1.0
4671,1611040840,0,1.0
4670,1609324383,17,0.7877352614401208
4669,1606811666,3,0.9587694076919532
4668,1604982752,4,0.9454071682581783
4667,1603524059,198,0.062106220191944145
4666,1599753572,3,0.9587694076919532
4664,1597080987,78,0.33463269589045996
4663,1594569504,6,0.9192387771259788
4661,1588577672,46,0.5243451377616051
4660,1585915263,46,0.5243451377616051
4658,1585243809,1,0.9860631353831556
4656,1583056261,0,1.0
4655,1581185142,1,0.9860631353831556
4652,1578122463,0,1.0
4650,1573961223,0,1.0
4649,1573949327,0,1.0
4648,1573146381,1,0.9860631353831556
4647,1573108603,1,0.9860631353831556
4646,1572170514,0,1.0
4644,1571599734,1,0.9860631353831556
4643,1571444717,8,0.8937947137939475
4641,1571287267,1,0.9860631353831556
4638,1570816447,2,0.9723205069616594
4637,1569780658,3,0.9587694076919532
4636,1568846644,0,1.0
4635,1568674113,0,1.0
4634,1568161755,0,1.0
4631,1566552262,12,0.8449999293720649
4629,1565960935,45,0.5317561512507611
4627,1565274516,46,0.5243451377616051
4626,1564839412,2,0.9723205069616594
4625,1562514406,0,1.0
4623,1560091234,33,0.6292972730138794
4622,1558143330,6,0.9192387771259788
4619,1554838344,9,0.8813380178725501
4618,1551769718,0,1.0
4616,1549424161,2,0.9723205069616594
4615,1549082420,3,0.9587694076919532
4614,1548223674,92,0.27493782349423657
4613,1538260504,67,0.39049584957559824
4612,1538085659,68,0.3850535617866235
4611,1538043567,23,0.7241167984252299
4610,1538033600,23,0.7241167984252299
4609,1537867232,119,0.18821836815265555
4608,1536819648,21,0.7447305628552204
4607,1534872616,44,0.5392719108641416
4606,1534587521,1,0.9860631353831556
4605,1533967110,2,0.9723205069616594
4604,1533899319,0,1.0
4603,1533429675,0,1.0
4602,1533345772,0,1.0
4601,1533229534,0,1.0
4600,1533224076,0,1.0
4599,1533219794,1,0.9860631353831556
4598,1533207047,0,1.0
4597,1532671538,1,0.9860631353831556
4596,1532376638,0,1.0
4594,1531674108,31,0.647211766601868
4593,1530767779,1,0.9860631353831556
4592,1530766569,0,1.0
4591,1527560130,5,0.9322311565463698
4589,1525279976,0,1.0
4587,1522789831,0,1.0
4586,1522466439,0,1.0
4584,1517787345,40,0.5704123355206817
4583,1517669808,90,0.2827646043930223
4582,1516922687,12,0.8449999293720649
