Python File,Issue ID,Number,Function Name,Title,Lines of Code,Cyclomatic Complexity,Number of Calls,TBF,Reliability
C:/Users/DELL/robotframework\tasks.py,1897220360,4870,set_version,Remove deprecated attributes in result model,127,11,3,0,1
C:/Users/DELL/robotframework\tasks.py,1896495200,4869,print_version,Remove deprecated attributes in result model,127,11,2,0,1
C:/Users/DELL/robotframework\tasks.py,1896105762,4867,library_docs,Support type aliases in formats `'list[int]'` and `'int | float'` in argument conversion,127,11,5,0,1
C:/Users/DELL/robotframework\tasks.py,1890194767,4864,release_notes,Support type aliases in formats `'list[int]'` and `'int | float'` in argument conversion,127,11,2,2,0.972320507
C:/Users/DELL/robotframework\tasks.py,1888749650,4862,init_labels,Support type aliases in formats `'list[int]'` and `'int | float'` in argument conversion,127,11,1,0,1
C:/Users/DELL/robotframework\atest\genrunner.py,1888438803,4861,__init__,Remove deprecated attributes in result model,64,3,0,0,1
C:/Users/DELL/robotframework\atest\interpreter.py,1885399555,4859,get_variables,Remove deprecated attributes in result model,86,33,1,1,0.986063135
C:/Users/DELL/robotframework\atest\interpreter.py,1848482266,4839,__init__,User keyword teardown missing from running model JSON schema,86,33,2,11,0.856943028
C:/Users/DELL/robotframework\atest\interpreter.py,1845371669,4838,_get_interpreter,Remove deprecated constructs from Libdoc spec files,86,33,0,3,0.958769408
C:/Users/DELL/robotframework\atest\interpreter.py,1844933817,4837,_get_name_and_version,Libdoc doesn't handle parameterized types like `list[int]` properly,86,33,1,0,1
C:/Users/DELL/robotframework\atest\interpreter.py,1826358340,4833,os,Remove deprecated attributes in result model,86,33,0,0,1
C:/Users/DELL/robotframework\atest\interpreter.py,1822615049,4832,output_name,Remove deprecated attributes in result model,86,33,0,1,0.986063135
C:/Users/DELL/robotframework\atest\interpreter.py,1822320924,4831,excludes,Remove deprecated attributes in result model,86,33,0,0,1
C:/Users/DELL/robotframework\atest\interpreter.py,1814039251,4829,is_python,Remove deprecated attributes in result model,86,33,0,5,0.932231157
C:/Users/DELL/robotframework\atest\interpreter.py,1813491754,4828,is_pypy,"Remote: Enhance `datetime`, `date` and `timedelta` conversion",86,33,0,3,0.958769408
C:/Users/DELL/robotframework\atest\interpreter.py,1811828911,4827,is_linux,"Remote: Enhance `datetime`, `date` and `timedelta` conversion",86,33,0,4,0.945407168
